Leading Cancer Sites,States,Year,Age Groups,Gender,Gender Code,Count,Population,Crude Rate,Region,Age_Flag,Age_max
Kidney and Renal Pelvis,Texas,2019,50-54 years,Male,M,356.0,841954.0,42.3,South,Middle age group,54.0
Kidney and Renal Pelvis,Texas,2019,55-59 years,Male,M,445.0,841924.0,52.9,South,Middle age group,59.0
Kidney and Renal Pelvis,Texas,2019,60-64 years ,Male,M,556.0,746424.0,74.5,South,Middle age group,64.0
Kidney and Renal Pelvis,Texas,2019,65-69 years,Male,M,604.0,589968.0,102.4,South,Elderly group,69.0
Kidney and Renal Pelvis,Texas,2019,70-74 years,Male,M,534.0,455698.0,117.2,South,Elderly group,74.0
Kidney and Renal Pelvis,Texas,2019,75-79 years,Male,M,342.0,294225.0,116.2,South,Elderly group,79.0
Kidney and Renal Pelvis,Texas,2019,80-84 years,Male,M,206.0,177336.0,116.2,South,Elderly group,84.0
Kidney and Renal Pelvis,Texas,2019,85+ years,Male,M,152.0,148369.0,102.4,South,Elderly group,89.0
Kidney and Renal Pelvis,Utah,2019,45-49 years,Male,M,27.0,89993.0,30.0,West,Adult age group,49.0
Kidney and Renal Pelvis,Utah,2019,50-54 years,Male,M,17.0,76348.0,22.3,West,Middle age group,54.0
Kidney and Renal Pelvis,Utah,2019,55-59 years,Male,M,34.0,76549.0,44.4,West,Middle age group,59.0
Kidney and Renal Pelvis,Utah,2019,60-64 years ,Male,M,30.0,71966.0,41.7,West,Middle age group,64.0
Kidney and Renal Pelvis,Utah,2019,65-69 years,Male,M,51.0,59784.0,85.3,West,Elderly group,69.0
Kidney and Renal Pelvis,Utah,2019,70-74 years,Male,M,41.0,45309.0,90.5,West,Elderly group,74.0
Kidney and Renal Pelvis,Utah,2019,75-79 years,Male,M,41.0,30318.0,135.2,West,Elderly group,79.0
Kidney and Renal Pelvis,Utah,2019,80-84 years,Male,M,20.0,18897.0,105.8,West,Elderly group,84.0
Kidney and Renal Pelvis,Vermont,2019,60-64 years ,Male,M,16.0,23374.0,68.5,North-East,Middle age group,64.0
Kidney and Renal Pelvis,Vermont,2019,65-69 years,Male,M,19.0,20260.0,93.8,North-East,Elderly group,69.0
Kidney and Renal Pelvis,Vermont,2019,70-74 years,Male,M,16.0,15975.0,100.2,North-East,Elderly group,74.0
Kidney and Renal Pelvis,Virginia,2019,35-39 years,Male,M,27.0,291647.0,9.3,South,Adult age group,39.0
Kidney and Renal Pelvis,Virginia,2019,40-44 years,Male,M,36.0,263224.0,13.7,South,Adult age group,44.0
Kidney and Renal Pelvis,Virginia,2019,45-49 years,Male,M,58.0,270862.0,21.4,South,Adult age group,49.0
Kidney and Renal Pelvis,Virginia,2019,50-54 years,Male,M,92.0,270164.0,34.1,South,Middle age group,54.0
Kidney and Renal Pelvis,Virginia,2019,55-59 years,Male,M,125.0,284217.0,44.0,South,Middle age group,59.0
Kidney and Renal Pelvis,Virginia,2019,60-64 years ,Male,M,163.0,252619.0,64.5,South,Middle age group,64.0
Kidney and Renal Pelvis,Virginia,2019,65-69 years,Male,M,168.0,206562.0,81.3,South,Elderly group,69.0
Kidney and Renal Pelvis,Virginia,2019,70-74 years,Male,M,144.0,166534.0,86.5,South,Elderly group,74.0
Kidney and Renal Pelvis,Virginia,2019,75-79 years,Male,M,103.0,110112.0,93.5,South,Elderly group,79.0
Kidney and Renal Pelvis,Virginia,2019,80-84 years,Male,M,57.0,65635.0,86.8,South,Elderly group,84.0
Kidney and Renal Pelvis,Virginia,2019,85+ years,Male,M,37.0,54645.0,67.7,South,Elderly group,89.0
Kidney and Renal Pelvis,Washington,2019,35-39 years,Male,M,21.0,281776.0,7.5,West,Adult age group,39.0
Kidney and Renal Pelvis,Washington,2019,40-44 years,Male,M,24.0,242249.0,9.9,West,Adult age group,44.0
Kidney and Renal Pelvis,Washington,2019,45-49 years,Male,M,43.0,235764.0,18.2,West,Adult age group,49.0
Kidney and Renal Pelvis,Washington,2019,50-54 years,Male,M,78.0,228861.0,34.1,West,Middle age group,54.0
Kidney and Renal Pelvis,Washington,2019,55-59 years,Male,M,101.0,241312.0,41.9,West,Middle age group,59.0
Kidney and Renal Pelvis,Washington,2019,60-64 years ,Male,M,122.0,228571.0,53.4,West,Middle age group,64.0
Kidney and Renal Pelvis,Washington,2019,65-69 years,Male,M,143.0,194596.0,73.5,West,Elderly group,69.0
Kidney and Renal Pelvis,Washington,2019,70-74 years,Male,M,146.0,152064.0,96.0,West,Elderly group,74.0
Kidney and Renal Pelvis,Washington,2019,75-79 years,Male,M,88.0,97682.0,90.1,West,Elderly group,79.0
Kidney and Renal Pelvis,Washington,2019,80-84 years,Male,M,60.0,56588.0,106.0,West,Elderly group,84.0
Kidney and Renal Pelvis,Washington,2019,85+ years,Male,M,41.0,49562.0,82.7,West,Elderly group,89.0
Kidney and Renal Pelvis,West Virginia,2019,45-49 years,Male,M,30.0,57415.0,52.3,South,Adult age group,49.0
Kidney and Renal Pelvis,West Virginia,2019,50-54 years,Male,M,26.0,57607.0,45.1,South,Middle age group,54.0
Kidney and Renal Pelvis,West Virginia,2019,55-59 years,Male,M,40.0,60753.0,65.8,South,Middle age group,59.0
Kidney and Renal Pelvis,West Virginia,2019,60-64 years ,Male,M,57.0,62648.0,91.0,South,Middle age group,64.0
Kidney and Renal Pelvis,West Virginia,2019,65-69 years,Male,M,55.0,57159.0,96.2,South,Elderly group,69.0
Kidney and Renal Pelvis,West Virginia,2019,70-74 years,Male,M,40.0,46911.0,85.3,South,Elderly group,74.0
Kidney and Renal Pelvis,West Virginia,2019,75-79 years,Male,M,25.0,30210.0,82.8,South,Elderly group,79.0
Kidney and Renal Pelvis,West Virginia,2019,80-84 years,Male,M,17.0,18893.0,90.0,South,Elderly group,84.0
Kidney and Renal Pelvis,Wisconsin,2019,35-39 years,Male,M,16.0,188818.0,8.5,Mid-West,Adult age group,39.0
Kidney and Renal Pelvis,Wisconsin,2019,40-44 years,Male,M,39.0,172292.0,22.6,Mid-West,Adult age group,44.0
Kidney and Renal Pelvis,Wisconsin,2019,45-49 years,Male,M,39.0,172687.0,22.6,Mid-West,Adult age group,49.0
Kidney and Renal Pelvis,Wisconsin,2019,50-54 years,Male,M,67.0,186091.0,36.0,Mid-West,Middle age group,54.0
Kidney and Renal Pelvis,Wisconsin,2019,55-59 years,Male,M,132.0,208616.0,63.3,Mid-West,Middle age group,59.0
Kidney and Renal Pelvis,Wisconsin,2019,60-64 years ,Male,M,154.0,197858.0,77.8,Mid-West,Middle age group,64.0
Kidney and Renal Pelvis,Wisconsin,2019,65-69 years,Male,M,184.0,165605.0,111.1,Mid-West,Elderly group,69.0
Kidney and Renal Pelvis,Wisconsin,2019,70-74 years,Male,M,128.0,123134.0,104.0,Mid-West,Elderly group,74.0
Kidney and Renal Pelvis,Wisconsin,2019,75-79 years,Male,M,119.0,79955.0,148.8,Mid-West,Elderly group,79.0
Kidney and Renal Pelvis,Wisconsin,2019,80-84 years,Male,M,64.0,51143.0,125.1,Mid-West,Elderly group,84.0
Kidney and Renal Pelvis,Wisconsin,2019,85+ years,Male,M,41.0,44796.0,91.5,Mid-West,Elderly group,89.0
Kidney and Renal Pelvis,Wyoming,2019,65-69 years,Male,M,21.0,17711.0,118.6,West,Elderly group,69.0
Larynx,Alabama,2019,55-59 years,Male,M,41.0,161482.0,25.4,South,Middle age group,59.0
Larynx,Alabama,2019,60-64 years ,Male,M,43.0,151504.0,28.4,South,Middle age group,64.0
Larynx,Alabama,2019,65-69 years,Male,M,37.0,127679.0,29.0,South,Elderly group,69.0
Larynx,Alabama,2019,70-74 years,Male,M,31.0,103250.0,30.0,South,Elderly group,74.0
Larynx,Arizona,2019,55-59 years,Male,M,16.0,216293.0,7.4,West,Middle age group,59.0
Larynx,Arizona,2019,65-69 years,Male,M,30.0,184808.0,16.2,West,Elderly group,69.0
Larynx,Arizona,2019,70-74 years,Male,M,27.0,166440.0,16.2,West,Elderly group,74.0
Larynx,Arkansas,2019,55-59 years,Male,M,18.0,96217.0,18.7,South,Middle age group,59.0
Larynx,Arkansas,2019,60-64 years ,Male,M,27.0,89601.0,30.1,South,Middle age group,64.0
Larynx,Arkansas,2019,65-69 years,Male,M,24.0,77133.0,31.1,South,Elderly group,69.0
Larynx,Arkansas,2019,70-74 years,Male,M,23.0,63870.0,36.0,South,Elderly group,74.0
Larynx,California,2019,45-49 years,Male,M,18.0,1250115.0,1.4,West,Adult age group,49.0
Larynx,California,2019,50-54 years,Male,M,34.0,1225041.0,2.8,West,Middle age group,54.0
Larynx,California,2019,55-59 years,Male,M,76.0,1230245.0,6.2,West,Middle age group,59.0
Larynx,California,2019,60-64 years ,Male,M,101.0,1097086.0,9.2,West,Middle age group,64.0
Larynx,California,2019,65-69 years,Male,M,120.0,883216.0,13.6,West,Elderly group,69.0
Larynx,California,2019,70-74 years,Male,M,115.0,686769.0,16.7,West,Elderly group,74.0
Larynx,California,2019,75-79 years,Male,M,85.0,451472.0,18.8,West,Elderly group,79.0
Larynx,California,2019,80-84 years,Male,M,56.0,291587.0,19.2,West,Elderly group,84.0
Larynx,California,2019,85+ years,Male,M,61.0,279780.0,21.8,West,Elderly group,89.0
Larynx,Colorado,2019,60-64 years ,Male,M,29.0,168947.0,17.2,West,Middle age group,64.0
Larynx,Colorado,2019,65-69 years,Male,M,18.0,141710.0,12.7,West,Elderly group,69.0
Larynx,Connecticut,2019,60-64 years ,Male,M,18.0,118388.0,15.2,North-East,Middle age group,64.0
Larynx,Connecticut,2019,70-74 years,Male,M,19.0,72253.0,26.3,North-East,Elderly group,74.0
Larynx,Florida,2019,45-49 years,Male,M,21.0,659172.0,3.2,South,Adult age group,49.0
Larynx,Florida,2019,50-54 years,Male,M,61.0,669897.0,9.1,South,Middle age group,54.0
Larynx,Florida,2019,55-59 years,Male,M,111.0,716609.0,15.5,South,Middle age group,59.0
Larynx,Florida,2019,60-64 years ,Male,M,164.0,658745.0,24.9,South,Middle age group,64.0
Larynx,Florida,2019,65-69 years,Male,M,143.0,592858.0,24.1,South,Elderly group,69.0
Larynx,Florida,2019,70-74 years,Male,M,129.0,539336.0,23.9,South,Elderly group,74.0
Larynx,Florida,2019,75-79 years,Male,M,106.0,398458.0,26.6,South,Elderly group,79.0
Larynx,Florida,2019,80-84 years,Male,M,52.0,260167.0,20.0,South,Elderly group,84.0
Larynx,Florida,2019,85+ years,Male,M,56.0,236724.0,23.7,South,Elderly group,89.0
Larynx,Georgia,2019,55-59 years,Male,M,46.0,332388.0,13.8,South,Middle age group,59.0
Larynx,Georgia,2019,60-64 years ,Male,M,65.0,290233.0,22.4,South,Middle age group,64.0
Larynx,Georgia,2019,65-69 years,Male,M,70.0,233236.0,30.0,South,Elderly group,69.0
Larynx,Georgia,2019,70-74 years,Male,M,55.0,187877.0,29.3,South,Elderly group,74.0
Larynx,Georgia,2019,75-79 years,Male,M,28.0,120727.0,23.2,South,Elderly group,79.0
Larynx,Illinois,2019,50-54 years,Male,M,24.0,394391.0,6.1,Mid-West,Middle age group,54.0
Larynx,Illinois,2019,55-59 years,Male,M,66.0,417135.0,15.8,Mid-West,Middle age group,59.0
Larynx,Illinois,2019,60-64 years ,Male,M,83.0,386164.0,21.5,Mid-West,Middle age group,64.0
Larynx,Illinois,2019,65-69 years,Male,M,66.0,311681.0,21.2,Mid-West,Elderly group,69.0
Larynx,Illinois,2019,70-74 years,Male,M,59.0,235792.0,25.0,Mid-West,Elderly group,74.0
Larynx,Illinois,2019,75-79 years,Male,M,41.0,157009.0,26.1,Mid-West,Elderly group,79.0
Larynx,Illinois,2019,80-84 years,Male,M,24.0,99464.0,24.1,Mid-West,Elderly group,84.0
Larynx,Illinois,2019,85+ years,Male,M,18.0,90831.0,19.8,Mid-West,Elderly group,89.0
Larynx,Indiana,2019,55-59 years,Male,M,36.0,219431.0,16.4,Mid-West,Middle age group,59.0
Larynx,Indiana,2019,60-64 years ,Male,M,38.0,206150.0,18.4,Mid-West,Middle age group,64.0
Larynx,Indiana,2019,65-69 years,Male,M,29.0,169871.0,17.1,Mid-West,Elderly group,69.0
Larynx,Indiana,2019,70-74 years,Male,M,26.0,128756.0,20.2,Mid-West,Elderly group,74.0
Larynx,Indiana,2019,75-79 years,Male,M,16.0,84547.0,18.9,Mid-West,Elderly group,79.0
Larynx,Iowa,2019,55-59 years,Male,M,17.0,104175.0,16.3,Mid-West,Middle age group,59.0
Larynx,Iowa,2019,60-64 years ,Male,M,19.0,101015.0,18.8,Mid-West,Middle age group,64.0
Larynx,Iowa,2019,70-74 years,Male,M,18.0,63841.0,28.2,Mid-West,Elderly group,74.0
Larynx,Kansas,2019,60-64 years ,Male,M,19.0,88946.0,21.4,Mid-West,Middle age group,64.0
Larynx,Kansas,2019,65-69 years,Male,M,25.0,74294.0,33.7,Mid-West,Elderly group,69.0
Larynx,Kansas,2019,70-74 years,Male,M,16.0,55904.0,28.6,Mid-West,Elderly group,74.0
Larynx,Kentucky,2019,50-54 years,Male,M,19.0,139402.0,13.6,South,Middle age group,54.0
Larynx,Kentucky,2019,55-59 years,Male,M,39.0,148487.0,26.3,South,Middle age group,59.0
Larynx,Kentucky,2019,60-64 years ,Male,M,46.0,139014.0,33.1,South,Middle age group,64.0
Larynx,Kentucky,2019,65-69 years,Male,M,41.0,117229.0,35.0,South,Elderly group,69.0
Larynx,Kentucky,2019,70-74 years,Male,M,42.0,92351.0,45.5,South,Elderly group,74.0
Larynx,Kentucky,2019,75-79 years,Male,M,16.0,59417.0,26.9,South,Elderly group,79.0
Larynx,Louisiana,2019,55-59 years,Male,M,32.0,147858.0,21.6,South,Middle age group,59.0
Larynx,Louisiana,2019,60-64 years ,Male,M,45.0,141022.0,31.9,South,Middle age group,64.0
Larynx,Louisiana,2019,65-69 years,Male,M,50.0,116241.0,43.0,South,Elderly group,69.0
Larynx,Louisiana,2019,70-74 years,Male,M,30.0,89033.0,33.7,South,Elderly group,74.0
Larynx,Louisiana,2019,75-79 years,Male,M,24.0,57329.0,41.9,South,Elderly group,79.0
Larynx,Maryland,2019,55-59 years,Male,M,23.0,206327.0,11.1,South,Middle age group,59.0
Larynx,Maryland,2019,60-64 years ,Male,M,44.0,182828.0,24.1,South,Middle age group,64.0
Larynx,Maryland,2019,65-69 years,Male,M,18.0,143139.0,12.6,South,Elderly group,69.0
Larynx,Maryland,2019,70-74 years,Male,M,18.0,112376.0,16.0,South,Elderly group,74.0
Larynx,Maryland,2019,75-79 years,Male,M,21.0,73831.0,28.4,South,Elderly group,79.0
Larynx,Massachusetts,2019,55-59 years,Male,M,29.0,237611.0,12.2,North-East,Middle age group,59.0
Larynx,Massachusetts,2019,60-64 years ,Male,M,42.0,216000.0,19.4,North-East,Middle age group,64.0
Larynx,Massachusetts,2019,65-69 years,Male,M,44.0,174709.0,25.2,North-East,Elderly group,69.0
Larynx,Massachusetts,2019,70-74 years,Male,M,21.0,136592.0,15.4,North-East,Elderly group,74.0
Larynx,Massachusetts,2019,75-79 years,Male,M,21.0,88472.0,23.7,North-East,Elderly group,79.0
Larynx,Michigan,2019,50-54 years,Male,M,20.0,317052.0,6.3,Mid-West,Middle age group,54.0
Larynx,Michigan,2019,55-59 years,Male,M,61.0,346483.0,17.6,Mid-West,Middle age group,59.0
Larynx,Michigan,2019,60-64 years ,Male,M,73.0,333643.0,21.9,Mid-West,Middle age group,64.0
Larynx,Michigan,2019,65-69 years,Male,M,67.0,277951.0,24.1,Mid-West,Elderly group,69.0
Larynx,Michigan,2019,70-74 years,Male,M,46.0,211655.0,21.7,Mid-West,Elderly group,74.0
Larynx,Michigan,2019,75-79 years,Male,M,31.0,141290.0,21.9,Mid-West,Elderly group,79.0
Larynx,Minnesota,2019,60-64 years ,Male,M,29.0,180058.0,16.1,Mid-West,Middle age group,64.0
Larynx,Minnesota,2019,65-69 years,Male,M,31.0,147771.0,21.0,Mid-West,Elderly group,69.0
Larynx,Minnesota,2019,70-74 years,Male,M,16.0,108169.0,14.8,Mid-West,Elderly group,74.0
Larynx,Mississippi,2019,55-59 years,Male,M,23.0,94103.0,24.4,South,Middle age group,59.0
Larynx,Mississippi,2019,60-64 years ,Male,M,33.0,88873.0,37.1,South,Middle age group,64.0
Larynx,Mississippi,2019,65-69 years,Male,M,31.0,74130.0,41.8,South,Elderly group,69.0
Larynx,Missouri,2019,55-59 years,Male,M,40.0,207419.0,19.3,Mid-West,Middle age group,59.0
Larynx,Missouri,2019,60-64 years ,Male,M,49.0,194001.0,25.3,Mid-West,Middle age group,64.0
Larynx,Missouri,2019,65-69 years,Male,M,34.0,159404.0,21.3,Mid-West,Elderly group,69.0
Larynx,Missouri,2019,70-74 years,Male,M,30.0,124964.0,24.0,Mid-West,Elderly group,74.0
Larynx,Missouri,2019,75-79 years,Male,M,20.0,85809.0,23.3,Mid-West,Elderly group,79.0
Larynx,New Jersey,2019,50-54 years,Male,M,19.0,299421.0,6.3,North-East,Middle age group,54.0
Larynx,New Jersey,2019,55-59 years,Male,M,31.0,312164.0,9.9,North-East,Middle age group,59.0
Larynx,New Jersey,2019,60-64 years ,Male,M,60.0,278186.0,21.6,North-East,Middle age group,64.0
Larynx,New Jersey,2019,65-69 years,Male,M,41.0,215780.0,19.0,North-East,Elderly group,69.0
Larynx,New Jersey,2019,70-74 years,Male,M,40.0,168667.0,23.7,North-East,Elderly group,74.0
Larynx,New Jersey,2019,75-79 years,Male,M,25.0,113439.0,22.0,North-East,Elderly group,79.0
Larynx,New Jersey,2019,80-84 years,Male,M,22.0,71989.0,30.6,North-East,Elderly group,84.0
Larynx,New York,2019,45-49 years,Male,M,18.0,582890.0,3.1,North-East,Adult age group,49.0
Larynx,New York,2019,50-54 years,Male,M,37.0,618377.0,6.0,North-East,Middle age group,54.0
Larynx,New York,2019,55-59 years,Male,M,93.0,649310.0,14.3,North-East,Middle age group,59.0
Larynx,New York,2019,60-64 years ,Male,M,104.0,595312.0,17.5,North-East,Middle age group,64.0
Larynx,New York,2019,65-69 years,Male,M,83.0,482367.0,17.2,North-East,Elderly group,69.0
Larynx,New York,2019,70-74 years,Male,M,88.0,374757.0,23.5,North-East,Elderly group,74.0
Larynx,New York,2019,75-79 years,Male,M,65.0,248805.0,26.1,North-East,Elderly group,79.0
Larynx,New York,2019,80-84 years,Male,M,44.0,161443.0,27.3,North-East,Elderly group,84.0
Larynx,New York,2019,85+ years,Male,M,36.0,157832.0,22.8,North-East,Elderly group,89.0
Larynx,North Carolina,2019,50-54 years,Male,M,35.0,329232.0,10.6,South,Middle age group,54.0
Larynx,North Carolina,2019,55-59 years,Male,M,57.0,337046.0,16.9,South,Middle age group,59.0
Larynx,North Carolina,2019,60-64 years ,Male,M,78.0,309206.0,25.2,South,Middle age group,64.0
Larynx,North Carolina,2019,65-69 years,Male,M,74.0,263272.0,28.1,South,Elderly group,69.0
Larynx,North Carolina,2019,70-74 years,Male,M,59.0,216344.0,27.3,South,Elderly group,74.0
Larynx,North Carolina,2019,75-79 years,Male,M,41.0,140632.0,29.2,South,Elderly group,79.0
Larynx,North Carolina,2019,80-84 years,Male,M,19.0,82151.0,23.1,South,Elderly group,84.0
Larynx,North Carolina,2019,85+ years,Male,M,18.0,65084.0,27.7,South,Elderly group,89.0
Larynx,Ohio,2019,45-49 years,Male,M,20.0,353382.0,5.7,Mid-West,Adult age group,49.0
Larynx,Ohio,2019,50-54 years,Male,M,40.0,362360.0,11.0,Mid-West,Middle age group,54.0
Larynx,Ohio,2019,55-59 years,Male,M,69.0,393519.0,17.5,Mid-West,Middle age group,59.0
Larynx,Ohio,2019,60-64 years ,Male,M,69.0,382794.0,18.0,Mid-West,Middle age group,64.0
Larynx,Ohio,2019,65-69 years,Male,M,94.0,315278.0,29.8,Mid-West,Elderly group,69.0
Larynx,Ohio,2019,70-74 years,Male,M,61.0,240998.0,25.3,Mid-West,Elderly group,74.0
Larynx,Ohio,2019,75-79 years,Male,M,49.0,156623.0,31.3,Mid-West,Elderly group,79.0
Larynx,Ohio,2019,80-84 years,Male,M,29.0,99822.0,29.1,Mid-West,Elderly group,84.0
Larynx,Ohio,2019,85+ years,Male,M,18.0,87895.0,20.5,Mid-West,Elderly group,89.0
Larynx,Oklahoma,2019,55-59 years,Male,M,23.0,123203.0,18.7,South,Middle age group,59.0
Larynx,Oklahoma,2019,60-64 years ,Male,M,21.0,115268.0,18.2,South,Middle age group,64.0
Larynx,Oklahoma,2019,65-69 years,Male,M,27.0,96337.0,28.0,South,Elderly group,69.0
Larynx,Oklahoma,2019,70-74 years,Male,M,25.0,76039.0,32.9,South,Elderly group,74.0
Larynx,Oklahoma,2019,75-79 years,Male,M,19.0,52033.0,36.5,South,Elderly group,79.0
Larynx,Oregon,2019,65-69 years,Male,M,19.0,122023.0,15.6,West,Elderly group,69.0
Larynx,Pennsylvania,2019,45-49 years,Male,M,17.0,383639.0,4.4,North-East,Adult age group,49.0
Larynx,Pennsylvania,2019,50-54 years,Male,M,23.0,408558.0,5.6,North-East,Middle age group,54.0
Larynx,Pennsylvania,2019,55-59 years,Male,M,72.0,443170.0,16.2,North-East,Middle age group,59.0
Larynx,Pennsylvania,2019,60-64 years ,Male,M,84.0,431980.0,19.4,North-East,Middle age group,64.0
Larynx,Pennsylvania,2019,65-69 years,Male,M,89.0,359174.0,24.8,North-East,Elderly group,69.0
Larynx,Pennsylvania,2019,70-74 years,Male,M,73.0,277092.0,26.3,North-East,Elderly group,74.0
Larynx,Pennsylvania,2019,75-79 years,Male,M,42.0,184992.0,22.7,North-East,Elderly group,79.0
Larynx,Pennsylvania,2019,80-84 years,Male,M,28.0,118354.0,23.7,North-East,Elderly group,84.0
Larynx,Pennsylvania,2019,85+ years,Male,M,32.0,112134.0,28.5,North-East,Elderly group,89.0
Larynx,South Carolina,2019,55-59 years,Male,M,32.0,165887.0,19.3,South,Middle age group,59.0
Larynx,South Carolina,2019,60-64 years ,Male,M,39.0,157735.0,24.7,South,Middle age group,64.0
Larynx,South Carolina,2019,65-69 years,Male,M,39.0,141000.0,27.7,South,Elderly group,69.0
Larynx,South Carolina,2019,70-74 years,Male,M,24.0,121417.0,19.8,South,Elderly group,74.0
Larynx,South Carolina,2019,75-79 years,Male,M,16.0,78665.0,20.3,South,Elderly group,79.0
Larynx,Tennessee,2019,50-54 years,Male,M,23.0,212010.0,10.8,South,Middle age group,54.0
Larynx,Tennessee,2019,55-59 years,Male,M,40.0,220864.0,18.1,South,Middle age group,59.0
Larynx,Tennessee,2019,60-64 years ,Male,M,58.0,205131.0,28.3,South,Middle age group,64.0
Larynx,Tennessee,2019,65-69 years,Male,M,68.0,173646.0,39.2,South,Elderly group,69.0
Larynx,Tennessee,2019,70-74 years,Male,M,37.0,142707.0,25.9,South,Elderly group,74.0
Larynx,Tennessee,2019,75-79 years,Male,M,30.0,93788.0,32.0,South,Elderly group,79.0
Larynx,Texas,2019,45-49 years,Male,M,16.0,917789.0,1.7,South,Adult age group,49.0
Larynx,Texas,2019,50-54 years,Male,M,41.0,841954.0,4.9,South,Middle age group,54.0
Larynx,Texas,2019,55-59 years,Male,M,91.0,841924.0,10.8,South,Middle age group,59.0
Larynx,Texas,2019,60-64 years ,Male,M,130.0,746424.0,17.4,South,Middle age group,64.0
Larynx,Texas,2019,65-69 years,Male,M,134.0,589968.0,22.7,South,Elderly group,69.0
Larynx,Texas,2019,70-74 years,Male,M,109.0,455698.0,23.9,South,Elderly group,74.0
Larynx,Texas,2019,75-79 years,Male,M,62.0,294225.0,21.1,South,Elderly group,79.0
Larynx,Texas,2019,80-84 years,Male,M,45.0,177336.0,25.4,South,Elderly group,84.0
Larynx,Texas,2019,85+ years,Male,M,34.0,148369.0,22.9,South,Elderly group,89.0
Larynx,Virginia,2019,50-54 years,Male,M,18.0,270164.0,6.7,South,Middle age group,54.0
Larynx,Virginia,2019,55-59 years,Male,M,39.0,284217.0,13.7,South,Middle age group,59.0
Larynx,Virginia,2019,60-64 years ,Male,M,53.0,252619.0,21.0,South,Middle age group,64.0
Larynx,Virginia,2019,65-69 years,Male,M,42.0,206562.0,20.3,South,Elderly group,69.0
Larynx,Virginia,2019,70-74 years,Male,M,41.0,166534.0,24.6,South,Elderly group,74.0
Larynx,Virginia,2019,75-79 years,Male,M,24.0,110112.0,21.8,South,Elderly group,79.0
Larynx,Virginia,2019,80-84 years,Male,M,16.0,65635.0,24.4,South,Elderly group,84.0
Larynx,Washington,2019,55-59 years,Male,M,22.0,241312.0,9.1,West,Middle age group,59.0
Larynx,Washington,2019,60-64 years ,Male,M,27.0,228571.0,11.8,West,Middle age group,64.0
Larynx,Washington,2019,65-69 years,Male,M,19.0,194596.0,9.8,West,Elderly group,69.0
Larynx,Washington,2019,70-74 years,Male,M,33.0,152064.0,21.7,West,Elderly group,74.0
Larynx,West Virginia,2019,60-64 years ,Male,M,18.0,62648.0,28.7,South,Middle age group,64.0
Larynx,West Virginia,2019,65-69 years,Male,M,18.0,57159.0,31.5,South,Elderly group,69.0
Larynx,Wisconsin,2019,55-59 years,Male,M,23.0,208616.0,11.0,Mid-West,Middle age group,59.0
Larynx,Wisconsin,2019,60-64 years ,Male,M,36.0,197858.0,18.2,Mid-West,Middle age group,64.0
Larynx,Wisconsin,2019,65-69 years,Male,M,31.0,165605.0,18.7,Mid-West,Elderly group,69.0
Larynx,Wisconsin,2019,70-74 years,Male,M,34.0,123134.0,27.6,Mid-West,Elderly group,74.0
Larynx,Wisconsin,2019,75-79 years,Male,M,22.0,79955.0,27.5,Mid-West,Elderly group,79.0
Leukemias,Alabama,2019,55-59 years,Male,M,35.0,161482.0,21.7,South,Middle age group,59.0
Leukemias,Alabama,2019,60-64 years ,Male,M,38.0,151504.0,25.1,South,Middle age group,64.0
Leukemias,Alabama,2019,65-69 years,Male,M,50.0,127679.0,39.2,South,Elderly group,69.0
Leukemias,Alabama,2019,70-74 years,Male,M,72.0,103250.0,69.7,South,Elderly group,74.0
Leukemias,Alabama,2019,75-79 years,Male,M,53.0,68256.0,77.6,South,Elderly group,79.0
Leukemias,Alabama,2019,80-84 years,Male,M,38.0,41242.0,92.1,South,Elderly group,84.0
Leukemias,Alabama,2019,85+ years,Male,M,40.0,31390.0,127.4,South,Elderly group,89.0
Leukemias,Arizona,2019,1-4 years,Male,M,17.0,177283.0,9.6,West,Pediatric group,4.0
Leukemias,Arizona,2019,50-54 years,Male,M,24.0,206772.0,11.6,West,Middle age group,54.0
Leukemias,Arizona,2019,55-59 years,Male,M,29.0,216293.0,13.4,West,Middle age group,59.0
Leukemias,Arizona,2019,60-64 years ,Male,M,52.0,204086.0,25.5,West,Middle age group,64.0
Leukemias,Arizona,2019,65-69 years,Male,M,60.0,184808.0,32.5,West,Elderly group,69.0
Leukemias,Arizona,2019,70-74 years,Male,M,75.0,166440.0,45.1,West,Elderly group,74.0
Leukemias,Arizona,2019,75-79 years,Male,M,67.0,118458.0,56.6,West,Elderly group,79.0
Leukemias,Arizona,2019,80-84 years,Male,M,43.0,74207.0,57.9,West,Elderly group,84.0
Leukemias,Arizona,2019,85+ years,Male,M,42.0,61656.0,68.1,West,Elderly group,89.0
Leukemias,Arkansas,2019,45-49 years,Male,M,17.0,89639.0,19.0,South,Adult age group,49.0
Leukemias,Arkansas,2019,55-59 years,Male,M,34.0,96217.0,35.3,South,Middle age group,59.0
Leukemias,Arkansas,2019,60-64 years ,Male,M,33.0,89601.0,36.8,South,Middle age group,64.0
Leukemias,Arkansas,2019,65-69 years,Male,M,45.0,77133.0,58.3,South,Elderly group,69.0
Leukemias,Arkansas,2019,70-74 years,Male,M,63.0,63870.0,98.6,South,Elderly group,74.0
Leukemias,Arkansas,2019,75-79 years,Male,M,42.0,43754.0,96.0,South,Elderly group,79.0
