Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,60-64 years ,60-64,Female,F,138
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,60-64 years ,60-64,Male,M,177
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,65-69 years,65-69,Female,F,191
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,65-69 years,65-69,Male,M,252
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,70-74 years,70-74,Female,F,209
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,70-74 years,70-74,Male,M,238
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,75-79 years,75-79,Female,F,162
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,75-79 years,75-79,Male,M,203
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,80-84 years,80-84,Female,F,144
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,80-84 years,80-84,Male,M,149
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,85+ years,85+,Female,F,151
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,85+ years,85+,Male,M,125
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,40-44 years,40-44,Male,M,17
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,45-49 years,45-49,Female,F,22
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,45-49 years,45-49,Male,M,31
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,50-54 years,50-54,Female,F,41
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,50-54 years,50-54,Male,M,42
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,55-59 years,55-59,Female,F,52
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,55-59 years,55-59,Male,M,62
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,60-64 years ,60-64,Female,F,58
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,60-64 years ,60-64,Male,M,97
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,65-69 years,65-69,Female,F,70
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,65-69 years,65-69,Male,M,96
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,70-74 years,70-74,Female,F,80
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,70-74 years,70-74,Male,M,105
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,75-79 years,75-79,Female,F,88
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,75-79 years,75-79,Male,M,85
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,80-84 years,80-84,Female,F,65
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,80-84 years,80-84,Male,M,63
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,85+ years,85+,Female,F,60
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,85+ years,85+,Male,M,48
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,50-54 years,50-54,Female,F,17
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,50-54 years,50-54,Male,M,20
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,55-59 years,55-59,Female,F,31
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,55-59 years,55-59,Male,M,37
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,60-64 years ,60-64,Female,F,43
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,60-64 years ,60-64,Male,M,52
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,65-69 years,65-69,Female,F,56
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,65-69 years,65-69,Male,M,76
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,70-74 years,70-74,Female,F,48
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,70-74 years,70-74,Male,M,63
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,75-79 years,75-79,Female,F,52
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,75-79 years,75-79,Male,M,77
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,80-84 years,80-84,Female,F,42
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,80-84 years,80-84,Male,M,57
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,85+ years,85+,Female,F,62
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,85+ years,85+,Male,M,43
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,45-49 years,45-49,Male,M,21
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,50-54 years,50-54,Female,F,17
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,50-54 years,50-54,Male,M,28
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,55-59 years,55-59,Female,F,18
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,55-59 years,55-59,Male,M,25
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,60-64 years ,60-64,Female,F,39
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,60-64 years ,60-64,Male,M,42
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,65-69 years,65-69,Female,F,29
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,65-69 years,65-69,Male,M,61
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,70-74 years,70-74,Female,F,33
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,70-74 years,70-74,Male,M,61
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,75-79 years,75-79,Female,F,39
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,75-79 years,75-79,Male,M,46
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,80-84 years,80-84,Female,F,26
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,80-84 years,80-84,Male,M,27
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,85+ years,85+,Female,F,34
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,85+ years,85+,Male,M,42
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,45-49 years,45-49,Male,M,23
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,50-54 years,50-54,Female,F,25
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,50-54 years,50-54,Male,M,42
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,55-59 years,55-59,Female,F,51
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,55-59 years,55-59,Male,M,46
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,60-64 years ,60-64,Female,F,57
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,60-64 years ,60-64,Male,M,76
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,65-69 years,65-69,Female,F,75
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,65-69 years,65-69,Male,M,78
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,70-74 years,70-74,Female,F,71
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,70-74 years,70-74,Male,M,76
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,75-79 years,75-79,Female,F,55
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,75-79 years,75-79,Male,M,83
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,80-84 years,80-84,Female,F,59
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,80-84 years,80-84,Male,M,52
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,85+ years,85+,Female,F,41
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,85+ years,85+,Male,M,25
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,45-49 years,45-49,Female,F,17
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,45-49 years,45-49,Male,M,23
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,50-54 years,50-54,Female,F,28
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,50-54 years,50-54,Male,M,35
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,55-59 years,55-59,Female,F,46
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,55-59 years,55-59,Male,M,57
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,60-64 years ,60-64,Female,F,72
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,60-64 years ,60-64,Male,M,50
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,65-69 years,65-69,Female,F,75
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,65-69 years,65-69,Male,M,80
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,70-74 years,70-74,Female,F,76
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,70-74 years,70-74,Male,M,79
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,75-79 years,75-79,Female,F,69
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,75-79 years,75-79,Male,M,77
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,80-84 years,80-84,Female,F,46
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,80-84 years,80-84,Male,M,42
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,85+ years,85+,Female,F,47
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,85+ years,85+,Male,M,32
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,55-59 years,55-59,Male,M,21
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,60-64 years ,60-64,Female,F,21
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,60-64 years ,60-64,Male,M,37
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,65-69 years,65-69,Male,M,36
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,70-74 years,70-74,Female,F,35
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,70-74 years,70-74,Male,M,30
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,75-79 years,75-79,Female,F,24
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,75-79 years,75-79,Male,M,35
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,80-84 years,80-84,Male,M,19
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,85+ years,85+,Male,M,18
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,40-44 years,40-44,Female,F,19
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,40-44 years,40-44,Male,M,20
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,45-49 years,45-49,Female,F,22
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,45-49 years,45-49,Male,M,33
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,50-54 years,50-54,Female,F,37
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,50-54 years,50-54,Male,M,42
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,55-59 years,55-59,Female,F,56
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,55-59 years,55-59,Male,M,64
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,60-64 years ,60-64,Female,F,69
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,60-64 years ,60-64,Male,M,94
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,65-69 years,65-69,Female,F,68
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,65-69 years,65-69,Male,M,92
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,70-74 years,70-74,Female,F,66
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,70-74 years,70-74,Male,M,107
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,75-79 years,75-79,Female,F,68
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,75-79 years,75-79,Male,M,81
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,80-84 years,80-84,Female,F,45
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,80-84 years,80-84,Male,M,62
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,85+ years,85+,Female,F,52
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,85+ years,85+,Male,M,54
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,40-44 years,40-44,Male,M,27
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,45-49 years,45-49,Female,F,32
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,45-49 years,45-49,Male,M,25
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,50-54 years,50-54,Female,F,44
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,50-54 years,50-54,Male,M,53
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,55-59 years,55-59,Female,F,69
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,55-59 years,55-59,Male,M,89
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,60-64 years ,60-64,Female,F,77
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,60-64 years ,60-64,Male,M,115
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,65-69 years,65-69,Female,F,102
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,65-69 years,65-69,Male,M,115
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,70-74 years,70-74,Female,F,91
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,70-74 years,70-74,Male,M,138
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,75-79 years,75-79,Female,F,98
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,75-79 years,75-79,Male,M,115
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,80-84 years,80-84,Female,F,67
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,80-84 years,80-84,Male,M,84
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,85+ years,85+,Female,F,73
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,85+ years,85+,Male,M,76
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,30-34 years,30-34,Male,M,16
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,35-39 years,35-39,Female,F,16
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,35-39 years,35-39,Male,M,25
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,40-44 years,40-44,Female,F,29
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,40-44 years,40-44,Male,M,32
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,45-49 years,45-49,Female,F,46
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,45-49 years,45-49,Male,M,47
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,50-54 years,50-54,Female,F,53
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,50-54 years,50-54,Male,M,70
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,55-59 years,55-59,Female,F,84
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,55-59 years,55-59,Male,M,107
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,60-64 years ,60-64,Female,F,139
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,60-64 years ,60-64,Male,M,182
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,65-69 years,65-69,Female,F,138
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,65-69 years,65-69,Male,M,182
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,70-74 years,70-74,Female,F,142
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,70-74 years,70-74,Male,M,210
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,75-79 years,75-79,Female,F,131
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,75-79 years,75-79,Male,M,190
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,80-84 years,80-84,Female,F,122
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,80-84 years,80-84,Male,M,112
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,85+ years,85+,Female,F,101
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,85+ years,85+,Male,M,96
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,35-39 years,35-39,Male,M,18
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,45-49 years,45-49,Female,F,16
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,45-49 years,45-49,Male,M,30
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,50-54 years,50-54,Female,F,30
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,50-54 years,50-54,Male,M,54
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,55-59 years,55-59,Female,F,58
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,55-59 years,55-59,Male,M,66
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,60-64 years ,60-64,Female,F,79
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,60-64 years ,60-64,Male,M,81
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,65-69 years,65-69,Female,F,81
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,65-69 years,65-69,Male,M,131
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,70-74 years,70-74,Female,F,86
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,70-74 years,70-74,Male,M,126
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,75-79 years,75-79,Female,F,82
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,75-79 years,75-79,Male,M,96
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,80-84 years,80-84,Female,F,60
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,80-84 years,80-84,Male,M,88
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,85+ years,85+,Female,F,57
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,85+ years,85+,Male,M,78
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,50-54 years,50-54,Male,M,17
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,55-59 years,55-59,Female,F,23
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,55-59 years,55-59,Male,M,28
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,60-64 years ,60-64,Female,F,21
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,60-64 years ,60-64,Male,M,36
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,65-69 years,65-69,Female,F,33
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,65-69 years,65-69,Male,M,53
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,70-74 years,70-74,Female,F,44
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,70-74 years,70-74,Male,M,65
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,75-79 years,75-79,Female,F,36
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,75-79 years,75-79,Male,M,44
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,80-84 years,80-84,Female,F,31
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,80-84 years,80-84,Male,M,38
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,85+ years,85+,Female,F,28
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,85+ years,85+,Male,M,29
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,35-39 years,35-39,Male,M,16
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,40-44 years,40-44,Female,F,18
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,40-44 years,40-44,Male,M,16
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,45-49 years,45-49,Female,F,19
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,45-49 years,45-49,Male,M,21
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,50-54 years,50-54,Female,F,35
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,50-54 years,50-54,Male,M,49
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,55-59 years,55-59,Female,F,69
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,55-59 years,55-59,Male,M,76
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,60-64 years ,60-64,Female,F,69
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,60-64 years ,60-64,Male,M,73
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,65-69 years,65-69,Female,F,95
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,65-69 years,65-69,Male,M,109
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,70-74 years,70-74,Female,F,83
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,70-74 years,70-74,Male,M,116
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,75-79 years,75-79,Female,F,100
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,75-79 years,75-79,Male,M,92
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,80-84 years,80-84,Female,F,63
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,80-84 years,80-84,Male,M,63
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,85+ years,85+,Female,F,78
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,85+ years,85+,Male,M,54
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,60-64 years ,60-64,Male,M,16
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,65-69 years,65-69,Female,F,17
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,65-69 years,65-69,Male,M,28
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,70-74 years,70-74,Female,F,18
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,70-74 years,70-74,Male,M,20
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,75-79 years,75-79,Female,F,23
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,75-79 years,75-79,Male,M,26
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,55-59 years,55-59,Female,F,16
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,55-59 years,55-59,Male,M,28
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,60-64 years ,60-64,Female,F,20
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,60-64 years ,60-64,Male,M,37
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,65-69 years,65-69,Female,F,26
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,65-69 years,65-69,Male,M,27
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,70-74 years,70-74,Female,F,22
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,70-74 years,70-74,Male,M,48
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,75-79 years,75-79,Female,F,27
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,75-79 years,75-79,Male,M,34
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,80-84 years,80-84,Female,F,22
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,80-84 years,80-84,Male,M,24
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,85+ years,85+,Female,F,17
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,85+ years,85+,Male,M,27
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,50-54 years,50-54,Male,M,23
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,55-59 years,55-59,Male,M,21
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,60-64 years ,60-64,Female,F,17
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,60-64 years ,60-64,Male,M,17
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,65-69 years,65-69,Female,F,25
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,65-69 years,65-69,Male,M,31
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,70-74 years,70-74,Female,F,20
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,70-74 years,70-74,Male,M,33
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,75-79 years,75-79,Female,F,28
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,75-79 years,75-79,Male,M,27
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,80-84 years,80-84,Female,F,19
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,80-84 years,80-84,Male,M,20
,Non-Hodgkin Lymphoma,33041-33042,New Hampshire,33,2019,2019,85+ years,85+,Female,F,20
